guid,title,pubDate,description,link,media
https://www.hindustantimes.com/fashion-and-trends/i-m-getting-my-boobs-out-chrissy-teigen-s-controversial-home-coronavirus-test-was-in-preparation-for-surgery/story-0JOTBZSxnQUuUUM7KW1mUL.html,I'm getting my boobs out: Chrissy Teigen's controversial home coronavirus test was...,"Thu, 28 May 2020 09:20:22 GMT ","Sharing a black and white topless photo of herself with white hearts covering her nipples as she crouches while laughing, the mother of two wrote, “All good. I’ll still have boobs, they’ll just be pure fat. Which is all a tit is in the first place. A dumb, miraculous bag of fat.”",https://www.hindustantimes.com/fashion-and-trends/i-m-getting-my-boobs-out-chrissy-teigen-s-controversial-home-coronavirus-test-was-in-preparation-for-surgery/story-0JOTBZSxnQUuUUM7KW1mUL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/_590c1c12-a0c1-11ea-b043-295af9ca78f2.PNG
https://www.hindustantimes.com/more-lifestyle/crawl-towards-your-goals-how-rebel-wilson-aims-to-slim-down-to-75-kg-for-her-year-of-health/story-eg7ZdhbrykfaKW34SiUbPM.html,'Crawl towards your goals': How Rebel Wilson aims to slim down to 75 kg for her...,"Thu, 28 May 2020 08:51:38 GMT ","Hollywood’s Rebel Wilson, comedian and actor seems to be making the most of the coronavirus lockdown and her time in self-isolation by trying to get healthier, and is all set to bring her weight down to 75kgs by the end of this year according to her latest Instagram post.",https://www.hindustantimes.com/more-lifestyle/crawl-towards-your-goals-how-rebel-wilson-aims-to-slim-down-to-75-kg-for-her-year-of-health/story-eg7ZdhbrykfaKW34SiUbPM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/_5aec18de-a0bc-11ea-b043-295af9ca78f2.jpg
https://www.hindustantimes.com/more-lifestyle/despicable-me-s-gru-and-minions-urge-handwashing-social-distancing-and-fun-at-home-in-new-coronavirus-psa/story-mMj3DbPlRvqb9OFscaOFTJ.html,"Despicable Me's Gru and Minions share tips on social distancing, fun at home in...","Thu, 28 May 2020 07:51:49 GMT ","Gru and his band of Minions are urging people to keep their distance to help fight the spread of the novel coronavirus in a new public service announcement unveiled on Wednesday. The movie’s animation studio, Illumination developed the PSA with the WHO and the United Nations Foundation. ",https://www.hindustantimes.com/more-lifestyle/despicable-me-s-gru-and-minions-urge-handwashing-social-distancing-and-fun-at-home-in-new-coronavirus-psa/story-mMj3DbPlRvqb9OFscaOFTJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/_8801ec0e-a0b7-11ea-b043-295af9ca78f2.PNG
https://www.hindustantimes.com/more-lifestyle/here-s-how-coronavirus-enters-cells-by-evading-immune-system-may-help-develop-new-drugs/story-k9aAkjH2fEXY8xvuanrCIM.html,"Here's how coronavirus enters cells by evading immune system, may help develop new...","Thu, 28 May 2020 07:16:55 GMT ","Scientists have identified features of the novel coronavirus which enable it to efficiently enter cells, while stealthily evading surveillance by the host immune system, findings that may lead to novel drug targets against COVID-19.  ",https://www.hindustantimes.com/more-lifestyle/here-s-how-coronavirus-enters-cells-by-evading-immune-system-may-help-develop-new-drugs/story-k9aAkjH2fEXY8xvuanrCIM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/virus-outbreak-south-korea-daily-life_b53ba046-a0af-11ea-b043-295af9ca78f2.jpg
https://www.hindustantimes.com/more-lifestyle/coronavirus-universally-effective-antibodies-found-in-covid-19-survivors-may-help-develop-vaccine/story-qiP83ET1KHLQbNn31RWsZM.html,"Coronavirus: Universally effective antibodies found in Covid-19 survivors, may help...","Thu, 28 May 2020 07:16:51 GMT ","A study of 149 people who recovered from COVID-19 shows that most individuals had generated at least some antibodies that were intrinsically capable of neutralising the SARS-CoV-2 virus, scientists say.",https://www.hindustantimes.com/more-lifestyle/coronavirus-universally-effective-antibodies-found-in-covid-19-survivors-may-help-develop-vaccine/story-qiP83ET1KHLQbNn31RWsZM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/vaccine-sticker-bottle-medical-syringe-labeled-illustration_8f70a776-a0aa-11ea-b043-295af9ca78f2.jpg
https://www.hindustantimes.com/art-and-culture/norwegian-wood-author-haruki-murakami-djs-stay-home-radio-show-to-lift-spirits-amid-covid-19/story-kfZJRVjynRs8jdJjzxdrjJ.html,Norwegian Wood author Haruki Murakami DJs 'Stay Home' radio show to lift spirits...,"Thu, 28 May 2020 07:16:44 GMT ","Acclaimed Japanese novelist Haruki Murakami, hosting a special radio show from home, painted a brighter side of the world with his favourite music, and said the fight against the coronavirus is a challenge in figuring out ways to help and care for each other.",https://www.hindustantimes.com/art-and-culture/norwegian-wood-author-haruki-murakami-djs-stay-home-radio-show-to-lift-spirits-amid-covid-19/story-kfZJRVjynRs8jdJjzxdrjJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/_d66820c6-a0b1-11ea-b043-295af9ca78f2.jpg
https://www.hindustantimes.com/more-lifestyle/scarred-for-life-lockdown-generation-looms-as-coronavirus-pandemic-risks-robbing-young-of-future-women-worst-hit/story-mSGNajGWkgWP7MsfApNL4J.html,Scarred for life: 'Lockdown generation' looms as coronavirus pandemic risks robbing...,"Thu, 28 May 2020 06:43:12 GMT ","A study by the U.N.’s International Labour Organization pointed to the “multiple shocks” young people now faced worldwide - losing work, education and training, income and the possibility of either finding or changing jobs. The impact is even worse for young women.",https://www.hindustantimes.com/more-lifestyle/scarred-for-life-lockdown-generation-looms-as-coronavirus-pandemic-risks-robbing-young-of-future-women-worst-hit/story-mSGNajGWkgWP7MsfApNL4J.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/28/Pictures/virus-outbreak-myanmar_6bb42d1e-a0ad-11ea-b043-295af9ca78f2.jpg
https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html,"HT Exclusive: Nudged by Ajit Doval, Myanmar army hands over 22 northeast insurg...","Sat, 16 May 2020 08:16:36 GMT ",The handling over anti-India insurgents by Myanmar military is a culmination of months of work by NSA Ajit Doval and security agencies,https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_b4487a46-96b0-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html,Govt to create Rs 1 lakh crore Agri-Infrastructure Fund for marginalised farmers:...,"Fri, 15 May 2020 07:33:47 GMT ","The lack of adequate cold chain and post-harvest management in the vicinity of farm-gate is causing gaps in value chains. The government’s focus has been on short-term crop loans while investment in long-term agriculture infrastructure has often not been enough, the minister indicated.",https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/16/Pictures/_cdbbcb4a-96e2-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/india-news/rahul-gandhi-shreds-niti-aayog-over-no-covid-19-cases-after-may-16-prediction/story-nIznL58C2I4kaSoVqqIuYI.html,Rahul Gandhi jabs NITI Aayog over Covid-19 'prediction'; gets a prompt rebuttal,"Fri, 15 May 2020 05:49:53 GMT ",NITI Aayog chief executive officer Amitabh Kant later tweeted his rebuttal to Rahul Gandhi.,https://www.hindustantimes.com/india-news/rahul-gandhi-shreds-niti-aayog-over-no-covid-19-cases-after-may-16-prediction/story-nIznL58C2I4kaSoVqqIuYI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_7274820e-96a6-11ea-a091-8eb61e4add3b.jpg
